_id,Year,Type_of_Metric,Category,Command,Amount
1,2016,Actual Expenditures,Salaries,Centralized Service Charges,41712046.76
2,2016,Approved Budget,Premium Pay,Corporate Support Command,795700
3,2016,Actual Expenditures,Benefits,Centralized Service Charges,86974692.98
4,2016,Actual Expenditures,Premium Pay,Centralized Service Charges,441893.96
5,2016,Approved Budget,Materials & Supplies,Corporate Support Command,264900
6,2016,Approved Budget,Equipment,Corporate Support Command,4500
7,2016,Actual Expenditures,Materials & Supplies,Centralized Service Charges,13628274.4
8,2016,Actual Expenditures,Equipment,Centralized Service Charges,1179649.65
9,2016,Approved Budget,Services,Corporate Support Command,892300
10,2016,Approved Budget,Revenues,Corporate Support Command,-5418400
11,2016,Actual Expenditures,Services,Centralized Service Charges,69566631.24
12,2016,Actual Expenditures,Revenues,Centralized Service Charges,-64890191.2
13,2016,Approved Budget,Salaries,Human Resources Command,35962000
14,2016,Approved Budget,Benefits,Human Resources Command,5170600
15,2016,Actual Expenditures,Salaries,Chief of Police,7089548.86
16,2016,Actual Expenditures,Benefits,Chief of Police,1081736.61
17,2016,Approved Budget,Premium Pay,Human Resources Command,648400
18,2016,Approved Budget,Materials & Supplies,Human Resources Command,286600
19,2016,Actual Expenditures,Premium Pay,Chief of Police,225241.09
20,2016,Actual Expenditures,Materials & Supplies,Chief of Police,34604.78
21,2016,Approved Budget,Equipment,Human Resources Command,27900
22,2016,Approved Budget,Services,Human Resources Command,2222500
23,2016,Actual Expenditures,Equipment,Chief of Police,74661.39
24,2016,Actual Expenditures,Services,Chief of Police,324857.47
25,2016,Approved Budget,Revenues,Human Resources Command,0
26,2016,Approved Budget,Salaries,Information Technology Command,18388800
27,2016,Actual Expenditures,Revenues,Chief of Police,-8430.2
28,2016,Actual Expenditures,Salaries,Communities & Neighbourhoods Command,233978535.3
29,2016,Approved Budget,Benefits,Information Technology Command,2746300
30,2016,Approved Budget,Premium Pay,Information Technology Command,264800
31,2016,Actual Expenditures,Benefits,Communities & Neighbourhoods Command,36537378.69
32,2016,Actual Expenditures,Premium Pay,Communities & Neighbourhoods Command,19696621.89
33,2017,Approved Budget,Equipment,(blank),0
34,2016,Approved Budget,Materials & Supplies,Information Technology Command,576900
35,2016,Approved Budget,Equipment,Information Technology Command,363500
36,2016,Actual Expenditures,Materials & Supplies,Communities & Neighbourhoods Command,394858.15
37,2016,Actual Expenditures,Equipment,Communities & Neighbourhoods Command,41551.34
38,2016,Approved Budget,Services,Information Technology Command,19733300
39,2016,Approved Budget,Revenues,Information Technology Command,-1143100
